hook,dump_addr,size,status,ref_elf,evidence
process_record_user,0x0800B1A8,4,UNMATCHED-custom-code-candidate,,bl from process_record_kb@0x0800AAB4+0x6
process_record_kb,0x0800AAB4,26,exact,ref1011_via,process_record_kb:bl(fuzzy-paired) from process_record_quantum@0x0800B2E0+0x1C
process_record_keychron,0x0800AA6C,38,fuzzy-anchored,ref1011_via,process_record_keychron:b.w from process_record_kb@0x0800AAB4+0x14
process_record_keychron_common,,,not-found,,"no body match, no caller vote"
process_record_quantum,0x0800B2E0,190,fuzzy-anchored,ref1011_via,process_record_quantum:bl from process_record@0x0800B9DC+0x8
housekeeping_task_user,0x0800C630,2,exact-ambiguous,ref1011_via,housekeeping_task_user:bl from housekeeping_task@0x0800C632+0x6
housekeeping_task_kb,0x0800AAE0,4,UNMATCHED-custom-code-candidate,,bl from housekeeping_task@0x0800C632+0x2
matrix_scan_user,0x0800CBDA,2,exact-ambiguous,ref1011_via,matrix_scan_user:bl from matrix_scan_kb@0x0800CBDC+0x2
matrix_scan_kb,0x0800CBDC,8,exact-ambiguous,ref1011_via,matrix_scan_kb:bl(fuzzy-paired) from matrix_scan@0x0800CD50+0x58
keyboard_post_init_user,0x0800C600,2,exact-ambiguous,ref1011_via,keyboard_post_init_user:b.w from keyboard_post_init_kb@0x0800B10C+0x3C
keyboard_post_init_kb,0x0800B10C,76,exact,ref1011_via,keyboard_post_init_kb:bl from keyboard_init@0x0800C650+0x1A
keyboard_pre_init_user,0x0800C5F6,2,exact-ambiguous,ref1011_via,keyboard_pre_init_user:bl from keyboard_pre_init_kb@0x0800C5F8+0x2
keyboard_pre_init_kb,0x0800C5F8,8,exact-ambiguous,ref1011_via,keyboard_pre_init_kb:bl from keyboard_setup@0x0800C608+0x10
layer_state_set_user,0x0800BB1C,2,exact-ambiguous,ref1011_via,layer_state_set_user:bl from layer_state_set_kb@0x0800BB1E+0x2
layer_state_set_kb,0x0800BB1E,8,exact-ambiguous,ref1011_via,layer_state_set_kb:b.w from magic@0x0800CB90+0x30
default_layer_state_set_user,,,not-found,,"no body match, no caller vote"
default_layer_state_set_kb,,,not-found,,"no body match, no caller vote"
rgb_matrix_indicators_user,,,not-found,,"no body match, no caller vote"
rgb_matrix_indicators_kb,0x0800AACE,18,UNMATCHED-custom-code-candidate,,bl(fuzzy-paired) from rgb_matrix_task@0x0800EFD4+0xC8
rgb_matrix_indicators_advanced_user,,,not-found,,"no body match, no caller vote"
rgb_matrix_indicators_advanced_kb,,,not-found,,"no body match, no caller vote"
dip_switch_update_kb,0x0800B0EC,32,fuzzy,ref1011_via,dip_switch_update_kb:bl(fuzzy-paired) from dip_switch_read@0x0800F81C+0x20
dip_switch_update_user,0x0800B0C0,44,UNMATCHED-custom-code-candidate,,bl(fuzzy-paired) from dip_switch_update_kb@0x0800B0EC+0x18
dip_switch_update_mask_kb,0x0800F814,8,exact-ambiguous,ref1011_via,dip_switch_update_mask_kb:bl(fuzzy-paired) from dip_switch_read@0x0800F81C+0x26
dip_switch_update_mask_user,0x0800F810,4,exact-ambiguous,ref1011_via,dip_switch_update_mask_user:bl from dip_switch_update_mask_kb@0x0800F814+0x2
encoder_update_user,,,not-found,,"no body match, no caller vote"
encoder_update_kb,,,not-found,,"no body match, no caller vote"
keycode_at_encodermap_location_raw,0x0800B1D4,32,fuzzy,ref1011_via,keycode_at_encodermap_location_raw:bl(fuzzy-paired) from dynamic_keymap_reset@0x0800F956+0x3E
keycode_at_keymap_location_raw,0x0800B1AC,40,UNMATCHED-custom-code-candidate,,bl(fuzzy-paired) from dynamic_keymap_reset@0x0800F956+0x14
leader_start_user,,,not-found,,"no body match, no caller vote"
leader_end_user,,,not-found,,"no body match, no caller vote"
raw_hid_receive,0x0801073E,442,fuzzy,ref1011_via,raw_hid_receive:bl(fuzzy-paired) from raw_hid_task@0x08011410+0x1C
raw_hid_receive_kb,,,not-found,,"no body match, no caller vote"
eeconfig_init_user,0x0800C4D2,6,exact-ambiguous,ref1011_via,eeconfig_init_user:bl from eeconfig_init_kb@0x0800C4D8+0x8
eeconfig_init_kb,0x0800C4D8,14,exact,ref1011_via,
get_tapping_term,,,not-found,,"no body match, no caller vote"
process_tap_dance,,,not-found,,"no body match, no caller vote"
tap_dance_task,,,not-found,,"no body match, no caller vote"
preprocess_tap_dance,,,not-found,,"no body match, no caller vote"
process_leader,,,not-found,,"no body match, no caller vote"
leader_task,,,not-found,,"no body match, no caller vote"
